period,value
1931-02,60540
1931-01,65737
1930-12,66972
1930-11,67957
1930-10,72893
1930-09,71216
1930-08,74831
1930-07,76922
1930-06,77060
1930-05,80528
1930-04,77483
1930-03,78226
1930-02,74290
1930-01,79633
1929-12,80917
1929-11,78758
1929-10,88430
1929-09,87453
1929-08,92165
1929-07,91309
1929-06,83407
1929-05,84499
1929-04,80412
1929-03,82463
1929-02,75456
1929-01,82054
1928-12,79493
1928-11,76123
1928-10,79751
1928-09,76484
1928-08,77807
1928-07,75584
1928-06,72676
1928-05,75277
1928-04,72393
1928-03,74528
1928-02,68565
1928-01,72793
1927-12,74951
1927-11,74493
1927-10,77534
1927-09,75909
1927-08,78788
1927-07,78780
1927-06,75303
1927-05,76845
1927-04,73132
1927-03,75514
1927-02,68122
1927-01,71758
1926-12,72625
1926-11,69891
1926-10,69664
1926-09,65782
1926-08,67009
1926-07,65168
1926-06,61789
1926-05,62822
1926-04,60371
1926-03,60880
1926-02,54892
1926-01,59981
1925-12,49622
1925-11,49921
1925-10,51769
1925-09,51559
1925-08,52198
1925-07,52138
1925-06,51915
1925-05,53367
1925-04,51914
1925-03,53597
1925-02,48571
1925-01,53802
1924-12,57433
1924-11,56782
1924-10,60469
1924-09,60376
1924-08,62398
1924-07,61932
1924-06,59583
1924-05,61834
1924-04,59830
1924-03,60141
1924-02,55889
1924-01,57273
1923-12,59546
1923-11,65388
1923-10,67506
1923-09,65306
1923-08,66422
1923-07,65925
1923-06,62845
1923-05,62377
1923-04,59008
1923-03,56969
1923-02,48588
1923-01,52527
1922-12,50642
1922-11,48027
1922-10,48410
1922-09,45805
1922-08,47059
1922-07,47134
1922-06,46087
1922-05,47002
1922-04,45167
1922-03,47188
1922-02,41314
1922-01,43696
1921-12,42173
1921-11,38108
1921-10,35832
1921-09,36763
1921-08,41109
1921-07,40461
1921-06,40548
1921-05,42189
1921-04,40233
1921-03,41105
1921-02,35524
1921-01,38138
1920-12,38961
1920-11,38609
1920-10,39584
1920-09,37521
1920-08,38906
1920-07,37746
1920-06,36663
1920-05,36622
1920-04,34945
1920-03,36171
1920-02,33193
1920-01,34008
